Model,CommentsIncluded,Precision,Recall,F1
artigenz,False,0.0119093353822512,0.154228855721393,0.0221112696148359
artigenz,True,0.0095602294455066,0.1243781094527363,0.0177556818181818
codellama,False,0.0123695400077309,0.1592039800995024,0.0229555236728837
codellama,True,0.0118193330519206,0.1393034825870646,0.0217898832684824
qwen,True,0.0128661374212975,0.2338308457711442,0.024390243902439
qwen,False,0.0108913091798177,0.2437810945273631,0.0208510638297872
