Model,CommentsIncluded,Precision,Recall,F1
artigenz,True,0.014336917562724,0.3980099502487562,0.0276768725134059
artigenz,False,0.0140845070422535,0.3830845771144278,0.0271700776287932
codellama,True,0.0135704258306036,0.2885572139303483,0.0259217877094972
codellama,False,0.0134271099744245,0.3134328358208955,0.0257510729613733
qwen,True,0.0183823529411764,0.5970149253731343,0.0356665180561747
qwen,False,0.0172341319882303,0.6119402985074627,0.0335241210139002
